# NOT 3.5.1-blind: in-session subagents, one vendor, repo as cwd.
# Fresh contexts per pass (no generator trace), package staged outside
# the repo and neutrally named. Do NOT pool these rows with --bare rows.
# Cumulative; never restarted.
pass	model	status	cost_usd	response
A	sonnet	CLEAN	n/a	0048-RKHS-1-r4-audit-response-A-general.md
B	opus	DEFECTS	n/a	0048-RKHS-1-r4-audit-response-B-statement-drift-scope.md
C	opus	DEFECTS	n/a	0048-RKHS-1-r4-audit-response-C-measure-theoretic.md
D	fable	CLEAN	n/a	0048-RKHS-1-r4-audit-response-D-line-by-line.md
E	opus	DEFECTS	n/a	0048-RKHS-1-r4-audit-response-E-refutation-source-fidelity.md
#
# Revision r5 supersedes 0048-RKHS-1-r4 (one clause deleted from Remark C(i); no
# replacement prose added, by instruction). The five rows above were recorded
# against pre-r5 content and DO NOT carry over. Verified byte-identical r4 -> r5
# by hash: GOAL, Theorem through the Corollary, Remark A, Corollary B,
# DEPENDENCIES through the numerical check.
# 0048-RKHS-1-r5 starts with an empty tally.
