# NOT 3.5.1-blind: in-session subagents, one vendor, repo as cwd.
# Fresh contexts per pass (no generator trace), package staged outside
# the repo and neutrally named. Do NOT pool these rows with --bare rows.
# Cumulative; never restarted.
pass	model	status	cost_usd	response
A	opus	CLEAN	n/a	0048-RKHS-1-r3-audit-response-A-general.md
B	sonnet	CLEAN	n/a	0048-RKHS-1-r3-audit-response-B-statement-drift-scope.md
C	opus	CLEAN	n/a	0048-RKHS-1-r3-audit-response-C-measure-theoretic.md
D	fable	CLEAN	n/a	0048-RKHS-1-r3-audit-response-D-line-by-line.md
E	sonnet	DEFECTS	n/a	0048-RKHS-1-r3-audit-response-E-refutation-source-fidelity.md
#
# Revision r4 supersedes 0048-RKHS-1-r3 (4 upheld findings, all commentary: a new
# Corollary-B-domain argument added to Remark C, two weakenings, one word in the
# Proof plan). The five rows above were recorded against pre-r4 content and DO NOT
# carry over. Verified byte-identical r3 -> r4 by hash: GOAL, Theorem statement,
# Lemmas 1-4 through the Corollary, Remark A, Corollary B, numerical check. The
# only load-bearing-adjacent edit is the word "squared" in the Proof plan (F3).
# 0048-RKHS-1-r4 starts with an empty tally.
